code,name,sector,price,per,pbr,yield,roe,d2e,pos52,mcap,score,flags
6390,加藤製作所,機械,1356.0,3.40148,0.36192334,5.162241887905605,11.7580004,93.428,0.3011456628477905,15182322688.0,94,売上減(-19%)
5989,エイチワン,金属製品,1538.0,3.9450061,0.5256509,4.161248374512354,15.909,92.595,0.57856093979442,43086036992.0,88,
6430,ダイコク電機,機械,2444.0,6.1770205,0.7109059,4.091653027823241,9.932,0.062,0.39575289575289574,35725152256.0,88,利益急減(-39%) / 売上減(-19%)
7231,トピー工業,輸送用機器,3035.0,6.522814,0.45980117,4.2833607907743,6.784,46.762,0.3835616438356164,65601646592.0,87,利益急減(-81%)
8860,フジ住宅,不動産業,768.0,5.80894,0.46554372,4.166666666666666,7.4310005,199.842,0.2831858407079646,27543900160.0,86,
5351,品川リフラ,ガラス・土石製品,2052.0,3.590991,0.84999,4.385964912280701,27.200999999999997,42.276,0.36185133239831696,93639163904.0,86,
5410,合同製鐵,鉄鋼,3005.0,5.45917,0.31066853,5.990016638935108,4.172,37.788,0.271436086270384,43944235008.0,85,利益急減(-77%)
8881,日神グループホールディングス,不動産業,672.0,7.479132,0.44639212,5.208333333333334,5.821,80.943,0.3925925925925926,31385503744.0,85,
7820,ニホンフラッシュ,その他製品,705.0,0.53106546,0.5015948,5.106382978723404,3.595,7.056,0.05714285714285714,16043514880.0,85,
4251,恵和,化学,1190.0,7.383966,0.88654333,3.361344537815126,12.788,6.686,0.2967741935483871,22009683968.0,85,
8877,エスリード,不動産業,5310.0,7.3332415,0.98831964,4.519774011299435,14.633,226.085,0.19642857142857142,81929723904.0,85,
1964,中外炉工業,建設業,4170.0,6.477972,0.99845207,3.980815347721822,13.771,16.442,0.2832764505119454,29112866816.0,85,
6844,新電元工業,電気機器,3240.0,5.902284,0.4489175,3.0864197530864197,7.215000000000001,67.615,0.2457689477557027,32986009600.0,84,利益急減(-42%)
5852,アーレスティ,非鉄金属,679.0,4.710698,0.30237824,6.185567010309279,3.6429997999999997,69.428,0.12424242424242424,16934469632.0,83,
4574,大幸薬品,医薬品,269.0,14.627516,0.51150894,5.080669144981412,20.142001,0.413,0.25842696629213485,13517570048.0,83,利益急減(-34%)
256A,飛島ホールディングス,建設業,2145.0,8.479266,0.7752801,4.895104895104895,9.062000000000001,47.863,0.32456140350877194,41082593280.0,83,
7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,サービス業,1215.0,7.1689878,1.1998222,4.526748971193416,18.886,36.028,0.13751438434982738,15133728768.0,83,利益急減(-55%)
5440,共英製鋼,鉄鋼,2000.0,8.812125,0.41064617,4.5,5.173,39.072,0.30677290836653387,86917775360.0,82,
6209,リケンＮＰＲ,機械,4030.0,7.7422576,0.6557062,5.2109181141439205,9.106,14.788,0.6954314720812182,108427001856.0,82,
5970,ジーテクト,金属製品,2382.0,7.5804343,0.4480689,4.030226700251889,7.140000000000001,24.181,0.9838449111470113,101979586560.0,81,
2733,あらた,卸売業,2614.0,8.632191,0.70792186,4.284621270084163,7.764,47.254,0.2930622009569378,87508123648.0,81,
3443,川田テクノロジーズ,金属製品,1426.0,8.490116,0.7441346,3.529663394109397,10.0039996,17.04,0.4138411903243094,73122373632.0,81,
7241,フタバ産業,輸送用機器,1108.0,6.1775203,0.7106058,3.8808664259927803,12.662,34.934,0.7446043165467626,98947768320.0,80,
2288,丸大食品,食料品,2230.0,5.576115,0.72057354,3.1390134529147984,13.184999999999999,19.846,0.6155038759689923,53682094080.0,80,
9628,燦ホールディングス,サービス業,1375.0,6.444507,0.72846216,4.1454545454545455,,31.864,0.24033149171270718,32523354112.0,80,
